@relation 3f2eeba7

@attribute trump numeric
@attribute congress numeric
@attribute review numeric
@attribute obama numeric
@attribute share numeric
@attribute nordstrom numeric
@attribute senate numeric
@attribute pos numeric
@attribute neg numeric
@attribute neu numeric
@attribute timestamp numeric
@attribute corpus {Conservative,Liberal}

@data
0,0,1,0,0,0,0,0.15041,0.216128,0.633436,1486627200,Conservative
0,1,1,0,0,0,0,0.1464,0.1597,0.6939,1486713600,Conservative
0,0,0,0,0,0,0,0.288186,0.078744,0.63307,1486800000,Liberal
1,0,0,0,0,0,0,0.115636,0.147364,0.736818,1486627200,Conservative
0,0,0,0,0,0,0,0.320333,0.015667,0.664167,1486108800,Conservative
1,0,0,0,0,0,0,0.172636,0.113727,0.713636,1486627200,Liberal
0,0,0,0,0,0,0,0.171,0.057333,0.772,1486627200,Conservative
1,0,0,0,0,0,0,0.141524,0.153048,0.705571,1486800000,Conservative
0,0,0,0,0,0,0,0.1135,0.145375,0.741375,1486627200,Conservative
1,0,0,0,0,0,0,0.167667,0.107667,0.724667,1486713600,Conservative
0,0,0,0,0,0,0,0.1702,0.1407,0.689,1486713600,Conservative
1,0,0,0,0,0,0,0.201478,0.116435,0.68213,1486713600,Liberal
1,0,0,0,0,0,0,0.096263,0.196895,0.706842,1486108800,Liberal
0,0,0,0,0,0,0,0.129,0.134,0.737,1486713600,Conservative
0,0,1,0,0,0,0,0.205273,0.101364,0.693545,1486454400,Conservative
0,0,0,0,0,0,0,0.08,0.169,0.751,1486627200,Conservative
0,0,0,0,0,0,0,0.117,0.1888,0.6944,1486454400,Conservative
0,0,0,0,0,0,0,0.1455,0.0925,0.7615,1486627200,Conservative
0,0,0,0,0,0,0,0.242143,0.085714,0.672,1486713600,Conservative
0,0,0,0,0,0,1,0.107571,0.160857,0.731571,1486713600,Conservative
0,0,0,0,0,0,0,0.0625,0.18275,0.75475,1486627200,Conservative
0,0,0,0,0,0,0,0.215,0,0.785,1486108800,Liberal
0,0,0,0,0,0,0,0.20285,0.1091,0.68805,1486713600,Liberal
0,0,1,0,0,0,0,0.189368,0.142053,0.668526,1486540800,Conservative
0,0,1,0,0,0,0,0.165667,0.168,0.6665,1486627200,Conservative
0,1,1,0,0,0,0,0.1702,0.1332,0.6967,1486800000,Conservative
0,0,0,0,0,0,0,0.113818,0.183727,0.702364,1486281600,Conservative
0,0,0,0,0,0,0,0.126833,0.1165,0.756667,1486627200,Conservative
1,0,0,0,0,0,0,0.197401,0.14308,0.659512,1486800000,Liberal
0,1,0,0,0,0,0,0.205947,0.109211,0.684895,1486454400,Conservative
0,0,0,0,0,0,0,0.0645,0.4155,0.52,1486627200,Conservative
0,0,0,0,0,0,0,0.1175,0.193,0.6895,1486627200,Conservative
0,0,0,0,0,0,0,0.232667,0.163958,0.603458,1486800000,Conservative
0,0,0,0,0,0,0,0.298667,0.017333,0.683667,1486454400,Liberal
1,0,0,1,0,0,0,0.130941,0.153824,0.715059,1486800000,Conservative
1,0,0,0,0,0,0,0.195833,0.0675,0.7365,1486800000,Conservative
0,0,0,0,0,0,1,0.135875,0.13925,0.724875,1486713600,Conservative
0,0,0,0,0,0,0,0.160231,0.201,0.638769,1486540800,Conservative
0,0,0,0,0,0,0,0.0705,0.158,0.7715,1486540800,Conservative
0,0,0,0,0,0,0,0.135333,0.1964,0.668267,1486540800,Conservative
1,0,0,0,0,0,0,0.193714,0.094,0.712429,1486627200,Conservative
0,0,0,0,0,0,0,0,0,0,1486713600,Conservative
0,0,0,0,0,0,0,0.223676,0.127095,0.595189,1486800000,Liberal
1,0,0,0,0,0,0,0.0142,0.226,0.7598,1486540800,Liberal
0,0,0,0,0,0,0,0.077875,0.170875,0.75075,1486713600,Conservative
0,0,0,0,0,0,0,0,0,0,1486713600,Conservative
1,0,0,1,0,0,0,0.1715,0.214286,0.614286,1486627200,Conservative
0,0,1,0,0,0,0,0.130375,0.19525,0.674438,1486627200,Conservative
1,0,0,0,0,0,0,0.198,0.140154,0.662077,1486800000,Conservative
0,0,0,0,0,0,0,0.222917,0.171833,0.60525,1486800000,Liberal
1,0,0,0,0,0,0,0.183938,0.081813,0.734125,1486800000,Conservative
1,0,1,0,0,0,0,0.1444,0.1588,0.6969,1486713600,Conservative
0,0,1,0,0,0,0,0.114846,0.202308,0.682923,1486540800,Conservative
0,0,0,0,0,0,0,0.1525,0.089,0.758,1486108800,Conservative
1,0,0,0,1,0,0,0.143769,0.157308,0.699,1486713600,Conservative
0,0,0,0,0,0,0,0.098333,0.1565,0.745167,1486627200,Conservative
0,0,0,0,0,0,0,0.174,0.1225,0.7035,1486627200,Conservative
0,0,0,0,0,0,0,0.129,0.134,0.737,1486800000,Conservative
0,0,0,0,0,0,1,0.166857,0.069286,0.763571,1486454400,Conservative
0,0,0,0,0,0,0,0.139667,0.168389,0.691944,1486022400,Liberal
0,0,0,0,0,0,0,0.187,0.0605,0.7525,1486713600,Conservative
0,0,0,0,0,0,0,0.059667,0.303,0.637333,1486627200,Conservative
0,0,1,0,0,0,0,0.10285,0.26455,0.63275,1486454400,Conservative
0,0,1,0,0,0,0,0.170829,0.139943,0.6892,1486713600,Conservative
1,0,0,0,0,0,0,0.247667,0.135778,0.616444,1486713600,Conservative
1,0,0,0,0,0,0,0.1025,0.226813,0.670563,1486022400,Liberal
1,0,0,0,0,0,0,0.064167,0.248233,0.687567,1486454400,Liberal
1,0,0,0,0,0,0,0.048889,0.212222,0.738778,1486627200,Liberal
0,0,0,0,0,0,0,0.167455,0.191909,0.640636,1486108800,Liberal
1,0,0,0,0,0,0,0.157091,0.177545,0.665424,1486800000,Liberal
0,0,0,0,0,0,1,0.152889,0.197222,0.65,1486108800,Conservative
0,0,1,0,1,0,0,0.144882,0.174235,0.681,1486368000,Conservative
0,0,0,0,0,0,0,0.153615,0.155154,0.691385,1486627200,Conservative
0,0,0,0,0,0,0,0.106125,0.187375,0.706375,1486368000,Conservative
0,0,1,0,0,0,0,0.189208,0.118875,0.691667,1486713600,Conservative
0,0,0,0,0,0,0,0.055714,0.305857,0.638429,1486022400,Conservative
0,0,0,0,0,0,0,0.189714,0.161857,0.648714,1486713600,Conservative
1,0,0,0,0,0,0,0.1135,0.1355,0.751,1486713600,Conservative
1,0,0,0,0,0,0,0.141467,0.121933,0.736533,1486800000,Conservative
1,0,0,0,0,0,0,0.104889,0.200333,0.695,1486540800,Conservative
1,0,0,0,1,0,0,0.217444,0.131889,0.651,1486713600,Conservative
0,0,0,0,0,1,0,0.3136,0.1034,0.5832,1486800000,Conservative
0,0,0,0,0,0,0,0.116667,0.146833,0.736833,1486713600,Conservative
1,0,0,0,0,0,0,0.044,0.180333,0.775667,1486713600,Liberal
0,0,0,0,0,0,0,0.1725,0.197,0.6305,1486713600,Liberal
1,0,0,0,0,0,0,0.12587,0.156217,0.630913,1486627200,Conservative
0,0,1,0,0,0,0,0.151778,0.166222,0.682074,1486454400,Conservative
0,0,0,0,0,0,0,0.1765,0.067,0.7565,1486627200,Conservative
0,0,0,0,0,0,0,0.162375,0.127875,0.7095,1486108800,Liberal
0,0,0,0,0,0,0,0.229304,0.10987,0.660783,1486800000,Liberal
0,0,0,0,0,0,0,0.330667,0.042,0.627333,1486800000,Liberal
0,0,0,0,0,0,0,0.201,0.15125,0.6475,1486627200,Conservative
0,0,0,0,0,0,0,0.1856,0.1454,0.6689,1486022400,Conservative
0,0,0,0,0,0,0,0.287089,0.074467,0.638444,1486800000,Liberal
1,0,0,0,0,0,0,0.1345,0.069611,0.629278,1486713600,Conservative
1,0,0,0,0,0,0,0.204,0.0555,0.7405,1486713600,Conservative
