@relation 79a7dadc-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute share numeric
@attribute review numeric
@attribute author numeric
@attribute madden numeric
@attribute tweet numeric
@attribute tennessee numeric
@attribute trump numeric
@attribute twitter numeric
@attribute quebec numeric
@attribute congress numeric
@attribute article numeric
@attribute muslim numeric
@attribute house numeric
@attribute msnbc numeric
@attribute ryan numeric
@attribute todd numeric
@attribute donald numeric
@attribute administration numeric
@attribute department numeric
@attribute madison numeric
@attribute business numeric
@attribute someone numeric
@attribute health numeric
@attribute parenthood numeric
@attribute redwood numeric
@attribute minnesota numeric
@attribute shelawyer numeric
@attribute denver numeric
@attribute radiowalla numeric
@attribute john numeric
@attribute county numeric
@attribute hogan numeric
@attribute maryland numeric
@attribute nation numeric
@attribute ivanka numeric
@attribute berkeley numeric
@attribute devos numeric
@attribute senate numeric
@attribute scott numeric
@attribute washington numeric
@attribute gandhi numeric
@attribute feminist numeric
@attribute yemeni numeric
@attribute bush numeric
@attribute constitution numeric
@attribute california numeric
@attribute george numeric
@attribute obama numeric
@attribute florida numeric
@attribute warren numeric
@attribute obamacare numeric
@attribute syria numeric
@attribute iraq numeric
@attribute u.s. numeric
@attribute justice numeric
@attribute russia numeric
@attribute clinton numeric
@attribute bill numeric
@attribute conway numeric
@attribute thinkprogress numeric
@attribute brownback numeric
@attribute politico numeric
@attribute garland numeric
@attribute supreme numeric
@attribute iran numeric
@attribute pentagon numeric
@attribute nordstrom numeric
@attribute spicer numeric
@attribute education numeric
@attribute maria numeric
@attribute jeffrey numeric
@attribute propublica numeric
@attribute europe numeric
@attribute germany numeric
@attribute pelosi numeric
@attribute news numeric
@attribute billyhallowell numeric
@attribute america numeric
@attribute madonna numeric
@attribute mar-a-lago numeric
@attribute china numeric
@attribute barack numeric
@attribute money numeric
@attribute islam numeric
@attribute putin numeric
@attribute council numeric
@attribute mcconnell numeric
@attribute circuit numeric
@attribute executive numeric
@attribute pos numeric
@attribute neg numeric
@attribute neu numeric
@attribute timestamp numeric
@attribute corpus {Conservative,Liberal}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194833,0.166833,0.638333,1486800000,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106125,0.187375,0.706375,1486368000,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077875,0.170875,0.75075,1486713600,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1178,0.2082,0.674,1486627200,Liberal
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.189591,0.139045,0.671318,1485504000,Liberal
1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1256,0.1865,0.6881,1486627200,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0.149333,0.641667,1486540800,Liberal
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.0336,0.7354,1484985600,Liberal
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205947,0.109211,0.684895,1486454400,Conservative
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104889,0.200333,0.695,1486540800,Conservative
