@relation c1f2cf23

@attribute share numeric
@attribute review numeric
@attribute author numeric
@attribute madden numeric
@attribute tweet numeric
@attribute tennessee numeric
@attribute trump numeric
@attribute twitter numeric
@attribute quebec numeric
@attribute congress numeric
@attribute article numeric
@attribute muslim numeric
@attribute house numeric
@attribute msnbc numeric
@attribute ryan numeric
@attribute todd numeric
@attribute donald numeric
@attribute administration numeric
@attribute department numeric
@attribute madison numeric
@attribute business numeric
@attribute someone numeric
@attribute health numeric
@attribute parenthood numeric
@attribute redwood numeric
@attribute minnesota numeric
@attribute shelawyer numeric
@attribute denver numeric
@attribute radiowalla numeric
@attribute john numeric
@attribute county numeric
@attribute hogan numeric
@attribute maryland numeric
@attribute nation numeric
@attribute ivanka numeric
@attribute berkeley numeric
@attribute devos numeric
@attribute senate numeric
@attribute scott numeric
@attribute washington numeric
@attribute gandhi numeric
@attribute feminist numeric
@attribute yemeni numeric
@attribute bush numeric
@attribute constitution numeric
@attribute california numeric
@attribute george numeric
@attribute obama numeric
@attribute florida numeric
@attribute warren numeric
@attribute obamacare numeric
@attribute syria numeric
@attribute iraq numeric
@attribute u.s. numeric
@attribute justice numeric
@attribute russia numeric
@attribute clinton numeric
@attribute bill numeric
@attribute conway numeric
@attribute thinkprogress numeric
@attribute brownback numeric
@attribute politico numeric
@attribute garland numeric
@attribute supreme numeric
@attribute iran numeric
@attribute pentagon numeric
@attribute nordstrom numeric
@attribute spicer numeric
@attribute education numeric
@attribute maria numeric
@attribute jeffrey numeric
@attribute propublica numeric
@attribute europe numeric
@attribute germany numeric
@attribute pelosi numeric
@attribute news numeric
@attribute billyhallowell numeric
@attribute america numeric
@attribute madonna numeric
@attribute mar-a-lago numeric
@attribute china numeric
@attribute barack numeric
@attribute money numeric
@attribute islam numeric
@attribute putin numeric
@attribute council numeric
@attribute mcconnell numeric
@attribute circuit numeric
@attribute executive numeric
@attribute pos numeric
@attribute neg numeric
@attribute neu numeric
@attribute timestamp numeric
@attribute corpus {Conservative,Liberal}

@data
1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1464,0.1597,0.6939,1486713600,Conservative
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115636,0.147364,0.736818,1486627200,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.057333,0.772,1486627200,Conservative
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.141524,0.153048,0.705571,1486800000,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1702,0.1407,0.689,1486713600,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1715,0.09975,0.72875,1485936000,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.05125,0.72425,1486713600,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0.134,0.737,1486713600,Conservative
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0.1888,0.6944,1486454400,Conservative
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.18275,0.75475,1486627200,Conservative
