@relation f4d15781

@attribute trump numeric
@attribute congress numeric
@attribute review numeric
@attribute obama numeric
@attribute share numeric
@attribute nordstrom numeric
@attribute senate numeric
@attribute pos numeric
@attribute neg numeric
@attribute neu numeric
@attribute timestamp numeric
@attribute corpus {Conservative,Liberal}

@data
0,0,0,0,0,0,0,0.126,0.189167,0.684667,1486800000,Conservative
0,0,0,0,0,0,0,0.177697,0.093,0.638424,1486713600,Conservative
1,0,0,0,0,0,0,0.124,0.12725,0.74875,1486713600,Conservative
0,0,0,0,0,0,0,0.224,0.05125,0.72425,1486713600,Conservative
0,0,1,0,0,0,0,0.154917,0.154667,0.690583,1486454400,Conservative
0,0,0,0,0,0,0,0.3295,0.011,0.6595,1486627200,Conservative
1,0,0,0,0,0,0,0.168333,0.062,0.769667,1486627200,Conservative
0,0,0,0,0,0,0,0.1296,0.147,0.7232,1486713600,Conservative
1,0,1,0,0,0,0,0.166364,0.187318,0.646318,1486800000,Conservative
0,0,0,0,1,0,0,0.200444,0.101889,0.697778,1486800000,Conservative
0,0,0,0,0,0,0,0.10175,0.185375,0.71325,1486800000,Conservative
0,0,1,0,0,0,0,0.162348,0.201304,0.636391,1486540800,Conservative
0,0,0,0,0,0,0,0.235,0,0.765,1486713600,Conservative
1,0,1,0,0,0,0,0.1256,0.1865,0.6881,1486627200,Conservative
0,0,0,0,0,0,0,0.270667,0.064833,0.6645,1486022400,Conservative
0,0,1,0,0,0,0,0.194615,0.237808,0.567538,1486454400,Conservative
1,0,0,0,0,0,0,0.176286,0.114,0.709857,1486713600,Conservative
0,0,0,0,0,0,0,0.235,0.099667,0.665333,1486368000,Conservative
0,0,0,0,0,0,0,0.210667,0.115,0.674333,1486800000,Conservative
0,0,0,0,0,0,0,0.121591,0.232409,0.646,1486627200,Conservative
0,0,0,0,0,0,0,0.722,0,0.278,1486368000,Conservative
0,0,0,0,0,0,0,0.093333,0.145333,0.761667,1486627200,Conservative
0,0,1,0,0,0,0,0.1644,0.1282,0.70745,1486454400,Conservative
0,0,0,0,0,0,0,0.194833,0.166833,0.638333,1486800000,Conservative
0,0,0,0,0,0,0,0.0805,0.1495,0.7695,1486627200,Conservative
1,0,0,0,0,0,0,0.085917,0.23475,0.679333,1486713600,Conservative
0,0,0,0,0,0,0,0.270889,0.063111,0.666,1486368000,Conservative
0,0,0,1,0,0,0,0.11475,0.193125,0.692125,1486713600,Conservative
1,0,0,0,0,0,0,0.1008,0.1562,0.743,1486713600,Conservative
0,0,0,0,0,0,0,0,0.213,0.787,1486713600,Conservative
